Startup Name,Founded Year,Headquarters,Location (Locality),Sector/Industry,Total Funding (INR),Round Type,Investor/s (Proxy)
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,2000000,Seed,Local Angel Group B
City Center Food,2021,Satara,City Center,Food Processing,6000000,Angel,MSInS (Govt Scheme)
Karad Infra,2022,Satara,Karad,Construction/Infra,15000000,Debt,Private Stakeholders
MIDC Tooling,2020,Satara,MIDC Area,Engineering,30000000,Series A,Pune VC Fund
Phaltan Education,2016,Satara,Phaltan,EdTech/Skilling,95000000,Series C,National PE Fund
Wai Local,2023,Satara,Wai,Services,1000000,Pre-Seed,Bootstrap
Koregaon Agri-Products,2019,Satara,Koregaon,Food Processing,50000000,Series B,NABARD Linked Fund
Lonand Engineering,2017,Satara,Lonand,Engineering,75000000,Series B,Private Stakeholders
Khandala Tourism,2024,Satara,Khandala,Tourism/Hospitality,500000,Pre-Seed,Bootstrap
Patan Real Estate,2021,Satara,Patan,Real Estate,40000000,Debt,Cooperative Bank Loan
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group A
Javali Agri,2020,Satara,Javali,Agri-Tech,35000000,Angel,Cooperative Bank Loan
Satara Digital,2018,Satara,City Center,Services/IT,60000000,Series B,National PE Fund
Karad Auto,2024,Satara,Karad,Manufacturing,1000000,Pre-Seed,Bootstrap
MIDC Safety,2021,Satara,MIDC Area,Engineering/Safety,5000000,Seed,MSInS (Govt Scheme)
Phaltan Logistics,2017,Satara,Phaltan,Logistics,40000000,Series A,Private Stakeholders
Wai Agri,2023,Satara,Wai,Agri-Tech,2500000,Seed,Local Angel Group B
Koregaon Services,2024,Satara,Koregaon,Services,500000,Pre-Seed,Bootstrap
Lonand Water,2022,Satara,Lonand,Water-Tech,3000000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,15000000,Angel,Pune VC Fund
Patan Agri,2016,Satara,Patan,Agri-Tech,70000000,Series B,NABARD Linked Fund
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
Wai Food,2023,Satara,Wai,Food Processing,2500000,Seed,Local Angel Group A
Koregaon Logistics,2019,Satara,Koregaon,Logistics,45000000,Series B,Private Stakeholders
Lonand Water,2024,Satara,Lonand,Water-Tech,500000,Pre-Seed,Bootstrap
Khandala Real Estate,2017,Satara,Khandala,Real Estate,95000000,Debt,Cooperative Bank Loan
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,NABARD Linked Fund
Dahiwadi Construction,2015,Satara,Dahiwadi,Construction/Infra,120000000,Series C,National PE Fund
Mahabaleshwar Tourism,2022,Satara,Mahabaleshwar,Tourism/Hospitality,1500000,Seed,Local Angel Group B
City Center FinTech,2024,Satara,City Center,Financial Services,1000000,Pre-Seed,MSInS (Govt Scheme)
Karad Auto,2021,Satara,Karad,Manufacturing,50000000,Series A,Pune VC Fund
MIDC Components,2023,Satara,MIDC Area,Engineering,4000000,Seed,Local Angel Group A
Phaltan Edutech,2016,Satara,Phaltan,EdTech/Skilling,85000000,Series B,Private Stakeholders
Wai Infrastructure,2019,Satara,Wai,Construction/Infra,60000000,Debt,Cooperative Bank Loan
Koregaon Services,2022,Satara,Koregaon,Services,2000000,Seed,Local Angel Group B
Lonand Food,2018,Satara,Lonand,Food Processing,45000000,Series B,NABARD Linked Fund
Khandala Logistics,2020,Satara,Khandala,Logistics,30000000,Angel,Pune VC Fund
Patan Renewable,2024,Satara,Patan,Renewable Energy,500000,Pre-Seed,Bootstrap
Dahiwadi Farm,2023,Satara,Dahiwadi,Agri-Tech,3500000,Seed,Local Angel Group A
Javali Eco Stay,2021,Satara,Javali,Tourism/Hospitality,2500000,Angel,MSInS (Govt Scheme)
Satara IT,2015,Satara,City Center,Services/IT,100000000,Series C,National PE Fund
Karad Health,2024,Satara,Karad,HealthTech,750000,Pre-Seed,Bootstrap
MIDC Safety,2022,Satara,MIDC Area,Engineering/Safety,4000000,Seed,Local Angel Group B
Phaltan Logistics,2019,Satara,Phaltan,Logistics,35000000,Debt,Private Stakeholders
Wai Agri,2021,Satara,Wai,Agri-Tech,15000000,Angel,NABARD Linked Fund
Koregaon Real Estate,2018,Satara,Koregaon,Real Estate,80000000,Series B,Private Stakeholders
Lonand Water,2023,Satara,Lonand,Water-Tech,1500000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,12000000,Angel,Cooperative Bank Loan
Patan Agri,2024,Satara,Patan,Agri-Tech,500000,Pre-Seed,Bootstrap
Dahiwadi Services,2017,Satara,Dahiwadi,Services,70000000,Series B,National PE Fund
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,2000000,Seed,Local Angel Group B
City Center Food,2021,Satara,City Center,Food Processing,6000000,Angel,MSInS (Govt Scheme)
Karad Infra,2022,Satara,Karad,Construction/Infra,15000000,Debt,Private Stakeholders
MIDC Tooling,2020,Satara,MIDC Area,Engineering,30000000,Series A,Pune VC Fund
Phaltan Education,2016,Satara,Phaltan,EdTech/Skilling,95000000,Series C,National PE Fund
Wai Local,2023,Satara,Wai,Services,1000000,Pre-Seed,Bootstrap
Koregaon Agri-Products,2019,Satara,Koregaon,Food Processing,50000000,Series B,NABARD Linked Fund
Lonand Engineering,2017,Satara,Lonand,Engineering,75000000,Series B,Private Stakeholders
Khandala Tourism,2024,Satara,Khandala,Tourism/Hospitality,500000,Pre-Seed,Bootstrap
Patan Real Estate,2021,Satara,Patan,Real Estate,40000000,Debt,Cooperative Bank Loan
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group A
Javali Agri,2020,Satara,Javali,Agri-Tech,35000000,Angel,Cooperative Bank Loan
Satara Digital,2018,Satara,City Center,Services/IT,60000000,Series B,National PE Fund
Karad Auto,2024,Satara,Karad,Manufacturing,1000000,Pre-Seed,Bootstrap
MIDC Safety,2021,Satara,MIDC Area,Engineering/Safety,5000000,Seed,MSInS (Govt Scheme)
Phaltan Logistics,2017,Satara,Phaltan,Logistics,40000000,Series A,Private Stakeholders
Wai Agri,2023,Satara,Wai,Agri-Tech,2500000,Seed,Local Angel Group B
Koregaon Services,2024,Satara,Koregaon,Services,500000,Pre-Seed,Bootstrap
Lonand Water,2022,Satara,Lonand,Water-Tech,3000000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,15000000,Angel,Pune VC Fund
Patan Agri,2016,Satara,Patan,Agri-Tech,70000000,Series B,NABARD Linked Fund
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
Wai Food,2023,Satara,Wai,Food Processing,2500000,Seed,Local Angel Group A
Koregaon Logistics,2019,Satara,Koregaon,Logistics,45000000,Series B,Private Stakeholders
Lonand Water,2024,Satara,Lonand,Water-Tech,500000,Pre-Seed,Bootstrap
Khandala Real Estate,2017,Satara,Khandala,Real Estate,95000000,Debt,Cooperative Bank Loan
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,NABARD Linked Fund
Dahiwadi Construction,2015,Satara,Dahiwadi,Construction/Infra,120000000,Series C,National PE Fund
Mahabaleshwar Tourism,2022,Satara,Mahabaleshwar,Tourism/Hospitality,1500000,Seed,Local Angel Group B
City Center FinTech,2024,Satara,City Center,Financial Services,1000000,Pre-Seed,MSInS (Govt Scheme)
Karad Auto,2021,Satara,Karad,Manufacturing,50000000,Series A,Pune VC Fund
MIDC Components,2023,Satara,MIDC Area,Engineering,4000000,Seed,Local Angel Group A
Phaltan Edutech,2016,Satara,Phaltan,EdTech/Skilling,85000000,Series B,Private Stakeholders
Wai Infrastructure,2019,Satara,Wai,Construction/Infra,60000000,Debt,Cooperative Bank Loan
Koregaon Services,2022,Satara,Koregaon,Services,2000000,Seed,Local Angel Group B
Lonand Food,2018,Satara,Lonand,Food Processing,45000000,Series B,NABARD Linked Fund
Khandala Logistics,2020,Satara,Khandala,Logistics,30000000,Angel,Pune VC Fund
Patan Renewable,2024,Satara,Patan,Renewable Energy,500000,Pre-Seed,Bootstrap
Dahiwadi Farm,2023,Satara,Dahiwadi,Agri-Tech,3500000,Seed,Local Angel Group A
Javali Eco Stay,2021,Satara,Javali,Tourism/Hospitality,2500000,Angel,MSInS (Govt Scheme)
Satara IT,2015,Satara,City Center,Services/IT,100000000,Series C,National PE Fund
Karad Health,2024,Satara,Karad,HealthTech,750000,Pre-Seed,Bootstrap
MIDC Safety,2022,Satara,MIDC Area,Engineering/Safety,4000000,Seed,Local Angel Group B
Phaltan Logistics,2019,Satara,Phaltan,Logistics,35000000,Debt,Private Stakeholders
Wai Agri,2021,Satara,Wai,Agri-Tech,15000000,Angel,NABARD Linked Fund
Koregaon Real Estate,2018,Satara,Koregaon,Real Estate,80000000,Series B,Private Stakeholders
Lonand Water,2023,Satara,Lonand,Water-Tech,1500000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,12000000,Angel,Cooperative Bank Loan
Patan Agri,2024,Satara,Patan,Agri-Tech,500000,Pre-Seed,Bootstrap
Dahiwadi Services,2017,Satara,Dahiwadi,Services,70000000,Series B,National PE Fund
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,2000000,Seed,Local Angel Group B
City Center Food,2021,Satara,City Center,Food Processing,6000000,Angel,MSInS (Govt Scheme)
Karad Infra,2022,Satara,Karad,Construction/Infra,15000000,Debt,Private Stakeholders
MIDC Tooling,2020,Satara,MIDC Area,Engineering,30000000,Series A,Pune VC Fund
Phaltan Education,2016,Satara,Phaltan,EdTech/Skilling,95000000,Series C,National PE Fund
Wai Local,2023,Satara,Wai,Services,1000000,Pre-Seed,Bootstrap
Koregaon Agri-Products,2019,Satara,Koregaon,Food Processing,50000000,Series B,NABARD Linked Fund
Lonand Engineering,2017,Satara,Lonand,Engineering,75000000,Series B,Private Stakeholders
Khandala Tourism,2024,Satara,Khandala,Tourism/Hospitality,500000,Pre-Seed,Bootstrap
Patan Real Estate,2021,Satara,Patan,Real Estate,40000000,Debt,Cooperative Bank Loan
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group A
Javali Agri,2020,Satara,Javali,Agri-Tech,35000000,Angel,Cooperative Bank Loan
Satara Digital,2018,Satara,City Center,Services/IT,60000000,Series B,National PE Fund
Karad Auto,2024,Satara,Karad,Manufacturing,1000000,Pre-Seed,Bootstrap
MIDC Safety,2021,Satara,MIDC Area,Engineering/Safety,5000000,Seed,MSInS (Govt Scheme)
Phaltan Logistics,2017,Satara,Phaltan,Logistics,40000000,Series A,Private Stakeholders
Wai Agri,2023,Satara,Wai,Agri-Tech,2500000,Seed,Local Angel Group B
Koregaon Services,2024,Satara,Koregaon,Services,500000,Pre-Seed,Bootstrap
Lonand Water,2022,Satara,Lonand,Water-Tech,3000000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,15000000,Angel,Pune VC Fund
Patan Agri,2016,Satara,Patan,Agri-Tech,70000000,Series B,NABARD Linked Fund
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
Wai Food,2023,Satara,Wai,Food Processing,2500000,Seed,Local Angel Group A
Koregaon Logistics,2019,Satara,Koregaon,Logistics,45000000,Series B,Private Stakeholders
Lonand Water,2024,Satara,Lonand,Water-Tech,500000,Pre-Seed,Bootstrap
Khandala Real Estate,2017,Satara,Khandala,Real Estate,95000000,Debt,Cooperative Bank Loan
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,NABARD Linked Fund
Dahiwadi Construction,2015,Satara,Dahiwadi,Construction/Infra,120000000,Series C,National PE Fund
Mahabaleshwar Tourism,2022,Satara,Mahabaleshwar,Tourism/Hospitality,1500000,Seed,Local Angel Group B
City Center FinTech,2024,Satara,City Center,Financial Services,1000000,Pre-Seed,MSInS (Govt Scheme)
Karad Auto,2021,Satara,Karad,Manufacturing,50000000,Series A,Pune VC Fund
MIDC Components,2023,Satara,MIDC Area,Engineering,4000000,Seed,Local Angel Group A
Phaltan Edutech,2016,Satara,Phaltan,EdTech/Skilling,85000000,Series B,Private Stakeholders
Wai Infrastructure,2019,Satara,Wai,Construction/Infra,60000000,Debt,Cooperative Bank Loan
Koregaon Services,2022,Satara,Koregaon,Services,2000000,Seed,Local Angel Group B
Lonand Food,2018,Satara,Lonand,Food Processing,45000000,Series B,NABARD Linked Fund
Khandala Logistics,2020,Satara,Khandala,Logistics,30000000,Angel,Pune VC Fund
Patan Renewable,2024,Satara,Patan,Renewable Energy,500000,Pre-Seed,Bootstrap
Dahiwadi Farm,2023,Satara,Dahiwadi,Agri-Tech,3500000,Seed,Local Angel Group A
Javali Eco Stay,2021,Satara,Javali,Tourism/Hospitality,2500000,Angel,MSInS (Govt Scheme)
Satara IT,2015,Satara,City Center,Services/IT,100000000,Series C,National PE Fund
Karad Health,2024,Satara,Karad,HealthTech,750000,Pre-Seed,Bootstrap
MIDC Safety,2022,Satara,MIDC Area,Engineering/Safety,4000000,Seed,Local Angel Group B
Phaltan Logistics,2019,Satara,Phaltan,Logistics,35000000,Debt,Private Stakeholders
Wai Agri,2021,Satara,Wai,Agri-Tech,15000000,Angel,NABARD Linked Fund
Koregaon Real Estate,2018,Satara,Koregaon,Real Estate,80000000,Series B,Private Stakeholders
Lonand Water,2023,Satara,Lonand,Water-Tech,1500000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,12000000,Angel,Cooperative Bank Loan
Patan Agri,2024,Satara,Patan,Agri-Tech,500000,Pre-Seed,Bootstrap
Dahiwadi Services,2017,Satara,Dahiwadi,Services,70000000,Series B,National PE Fund
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,2000000,Seed,Local Angel Group B
City Center Food,2021,Satara,City Center,Food Processing,6000000,Angel,MSInS (Govt Scheme)
Karad Infra,2022,Satara,Karad,Construction/Infra,15000000,Debt,Private Stakeholders
MIDC Tooling,2020,Satara,MIDC Area,Engineering,30000000,Series A,Pune VC Fund
Phaltan Education,2016,Satara,Phaltan,EdTech/Skilling,95000000,Series C,National PE Fund
Wai Local,2023,Satara,Wai,Services,1000000,Pre-Seed,Bootstrap
Koregaon Agri-Products,2019,Satara,Koregaon,Food Processing,50000000,Series B,NABARD Linked Fund
Lonand Engineering,2017,Satara,Lonand,Engineering,75000000,Series B,Private Stakeholders
Khandala Tourism,2024,Satara,Khandala,Tourism/Hospitality,500000,Pre-Seed,Bootstrap
Patan Real Estate,2021,Satara,Patan,Real Estate,40000000,Debt,Cooperative Bank Loan
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group A
Javali Agri,2020,Satara,Javali,Agri-Tech,35000000,Angel,Cooperative Bank Loan
Satara Digital,2018,Satara,City Center,Services/IT,60000000,Series B,National PE Fund
Karad Auto,2024,Satara,Karad,Manufacturing,1000000,Pre-Seed,Bootstrap
MIDC Safety,2021,Satara,MIDC Area,Engineering/Safety,5000000,Seed,MSInS (Govt Scheme)
Phaltan Logistics,2017,Satara,Phaltan,Logistics,40000000,Series A,Private Stakeholders
Wai Agri,2023,Satara,Wai,Agri-Tech,2500000,Seed,Local Angel Group B
Koregaon Services,2024,Satara,Koregaon,Services,500000,Pre-Seed,Bootstrap
Lonand Water,2022,Satara,Lonand,Water-Tech,3000000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,15000000,Angel,Pune VC Fund
Patan Agri,2016,Satara,Patan,Agri-Tech,70000000,Series B,NABARD Linked Fund
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
Wai Food,2023,Satara,Wai,Food Processing,2500000,Seed,Local Angel Group A
Koregaon Logistics,2019,Satara,Koregaon,Logistics,45000000,Series B,Private Stakeholders
Lonand Water,2024,Satara,Lonand,Water-Tech,500000,Pre-Seed,Bootstrap
Khandala Real Estate,2017,Satara,Khandala,Real Estate,95000000,Debt,Cooperative Bank Loan
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,NABARD Linked Fund
Dahiwadi Construction,2015,Satara,Dahiwadi,Construction/Infra,120000000,Series C,National PE Fund
Mahabaleshwar Tourism,2022,Satara,Mahabaleshwar,Tourism/Hospitality,1500000,Seed,Local Angel Group B
City Center FinTech,2024,Satara,City Center,Financial Services,1000000,Pre-Seed,MSInS (Govt Scheme)
Karad Auto,2021,Satara,Karad,Manufacturing,50000000,Series A,Pune VC Fund
MIDC Components,2023,Satara,MIDC Area,Engineering,4000000,Seed,Local Angel Group A
Phaltan Edutech,2016,Satara,Phaltan,EdTech/Skilling,85000000,Series B,Private Stakeholders
Wai Infrastructure,2019,Satara,Wai,Construction/Infra,60000000,Debt,Cooperative Bank Loan
Koregaon Services,2022,Satara,Koregaon,Services,2000000,Seed,Local Angel Group B
Lonand Food,2018,Satara,Lonand,Food Processing,45000000,Series B,NABARD Linked Fund
Khandala Logistics,2020,Satara,Khandala,Logistics,30000000,Angel,Pune VC Fund
Patan Renewable,2024,Satara,Patan,Renewable Energy,500000,Pre-Seed,Bootstrap
Dahiwadi Farm,2023,Satara,Dahiwadi,Agri-Tech,3500000,Seed,Local Angel Group A
Javali Eco Stay,2021,Satara,Javali,Tourism/Hospitality,2500000,Angel,MSInS (Govt Scheme)
Satara IT,2015,Satara,City Center,Services/IT,100000000,Series C,National PE Fund
Karad Health,2024,Satara,Karad,HealthTech,750000,Pre-Seed,Bootstrap
MIDC Safety,2022,Satara,MIDC Area,Engineering/Safety,4000000,Seed,Local Angel Group B
Phaltan Logistics,2019,Satara,Phaltan,Logistics,35000000,Debt,Private Stakeholders
Wai Agri,2021,Satara,Wai,Agri-Tech,15000000,Angel,NABARD Linked Fund
Koregaon Real Estate,2018,Satara,Koregaon,Real Estate,80000000,Series B,Private Stakeholders
Lonand Water,2023,Satara,Lonand,Water-Tech,1500000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,12000000,Angel,Cooperative Bank Loan
Patan Agri,2024,Satara,Patan,Agri-Tech,500000,Pre-Seed,Bootstrap
Dahiwadi Services,2017,Satara,Dahiwadi,Services,70000000,Series B,National PE Fund
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,2000000,Seed,Local Angel Group B
City Center Food,2021,Satara,City Center,Food Processing,6000000,Angel,MSInS (Govt Scheme)
Karad Infra,2022,Satara,Karad,Construction/Infra,15000000,Debt,Private Stakeholders
MIDC Tooling,2020,Satara,MIDC Area,Engineering,30000000,Series A,Pune VC Fund
Phaltan Education,2016,Satara,Phaltan,EdTech/Skilling,95000000,Series C,National PE Fund
Wai Local,2023,Satara,Wai,Services,1000000,Pre-Seed,Bootstrap
Koregaon Agri-Products,2019,Satara,Koregaon,Food Processing,50000000,Series B,NABARD Linked Fund
Lonand Engineering,2017,Satara,Lonand,Engineering,75000000,Series B,Private Stakeholders
Khandala Tourism,2024,Satara,Khandala,Tourism/Hospitality,500000,Pre-Seed,Bootstrap
Patan Real Estate,2021,Satara,Patan,Real Estate,40000000,Debt,Cooperative Bank Loan
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group A
Javali Agri,2020,Satara,Javali,Agri-Tech,35000000,Angel,Cooperative Bank Loan
Satara Digital,2018,Satara,City Center,Services/IT,60000000,Series B,National PE Fund
Karad Auto,2024,Satara,Karad,Manufacturing,1000000,Pre-Seed,Bootstrap
MIDC Safety,2021,Satara,MIDC Area,Engineering/Safety,5000000,Seed,MSInS (Govt Scheme)
Phaltan Logistics,2017,Satara,Phaltan,Logistics,40000000,Series A,Private Stakeholders
Wai Agri,2023,Satara,Wai,Agri-Tech,2500000,Seed,Local Angel Group B
Koregaon Services,2024,Satara,Koregaon,Services,500000,Pre-Seed,Bootstrap
Lonand Water,2022,Satara,Lonand,Water-Tech,3000000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,15000000,Angel,Pune VC Fund
Patan Agri,2016,Satara,Patan,Agri-Tech,70000000,Series B,NABARD Linked Fund
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
